"AGE","SEX","GEO","HLTH_PB","TIME","ISCED11","UNIT","Value","Flag and Footnotes"
"From 15 to 64 years","Females","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.6",""
"From 15 to 64 years","Females","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.7",""
"From 15 to 64 years","Females","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.5",""
"From 15 to 64 years","Females","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.9",""
"From 15 to 64 years","Females","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 15 to 64 years","Females","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.6",""
"From 15 to 64 years","Females","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 15 to 64 years","Females","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3",""
"From 15 to 64 years","Females","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.4",""
"From 15 to 64 years","Females","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.1",""
"From 15 to 64 years","Females","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.7",""
"From 15 to 64 years","Females","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.1",""
"From 15 to 64 years","Females","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.8",""
"From 18 to 24 years","Total","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.6","e"
"From 18 to 24 years","Total","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.1",""
"From 18 to 24 years","Total","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.6",""
"From 18 to 24 years","Total","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.9",""
"From 18 to 24 years","Total","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","12.5",""
"From 18 to 24 years","Total","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.6",""
"From 18 to 24 years","Total","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.4",""
"From 18 to 24 years","Total","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.9",""
"From 18 to 24 years","Total","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 18 to 24 years","Total","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.5",""
"From 18 to 24 years","Total","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.0",""
"From 18 to 24 years","Total","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 24 years","Total","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 18 to 24 years","Total","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"From 18 to 24 years","Total","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.2",""
"From 18 to 24 years","Total","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.8",""
"From 18 to 24 years","Total","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 18 to 24 years","Total","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.3",""
"From 18 to 24 years","Total","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.7",""
"From 18 to 24 years","Total","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.1",""
"From 18 to 24 years","Total","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.8",""
"From 18 to 24 years","Total","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.3",""
"From 18 to 24 years","Total","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.4",""
"From 18 to 24 years","Total","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 18 to 24 years","Total","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.4",""
"From 18 to 24 years","Total","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.8",""
"From 18 to 24 years","Total","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.5",""
"From 18 to 24 years","Total","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","14.4",""
"From 18 to 24 years","Total","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.8",""
"From 18 to 24 years","Total","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.4",""
"From 18 to 24 years","Males","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.7","e"
"From 18 to 24 years","Males","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.1",""
"From 18 to 24 years","Males","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.5",""
"From 18 to 24 years","Males","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.4",""
"From 18 to 24 years","Males","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.2",""
"From 18 to 24 years","Males","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.9",""
"From 18 to 24 years","Males","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.1",""
"From 18 to 24 years","Males","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 24 years","Males","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.6",""
"From 18 to 24 years","Males","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.1",""
"From 18 to 24 years","Males","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0",""
"From 18 to 24 years","Males","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 24 years","Males","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 24 years","Males","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.8",""
"From 18 to 24 years","Males","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.5",""
"From 18 to 24 years","Males","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.7",""
"From 18 to 24 years","Males","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 18 to 24 years","Males","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.7",""
"From 18 to 24 years","Males","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 18 to 24 years","Males","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.2",""
"From 18 to 24 years","Males","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.8",""
"From 18 to 24 years","Males","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.2",""
"From 18 to 24 years","Males","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.7",""
"From 18 to 24 years","Males","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 18 to 24 years","Males","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.9",""
"From 18 to 24 years","Males","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.8",""
"From 18 to 24 years","Males","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.8",""
"From 18 to 24 years","Males","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","12.4",""
"From 18 to 24 years","Males","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.8",""
"From 18 to 24 years","Males","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.2",""
"From 18 to 24 years","Females","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.6","e"
"From 18 to 24 years","Females","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.3",""
"From 18 to 24 years","Females","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.8",""
"From 18 to 24 years","Females","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","15.1",""
"From 18 to 24 years","Females","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","13.9",""
"From 18 to 24 years","Females","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3",""
"From 18 to 24 years","Females","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.7",""
"From 18 to 24 years","Females","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.9",""
"From 18 to 24 years","Females","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"From 18 to 24 years","Females","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.8",""
"From 18 to 24 years","Females","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 24 years","Females","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 24 years","Females","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.8",""
"From 18 to 24 years","Females","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.0",""
"From 18 to 24 years","Females","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","0.9",""
"From 18 to 24 years","Females","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","16.3",""
"From 18 to 24 years","Females","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.0",""
"From 18 to 24 years","Females","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.0",""
"From 18 to 24 years","Females","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.8",""
"From 18 to 24 years","Females","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 24 years","Females","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"From 18 to 24 years","Females","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 18 to 24 years","Females","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.1",""
"From 18 to 24 years","Females","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.5",""
"From 18 to 24 years","Females","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.5",""
"From 18 to 24 years","Females","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","12.0",""
"From 18 to 24 years","Females","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.8",""
"From 18 to 24 years","Females","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","16.6",""
"From 18 to 24 years","Females","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.9",""
"From 18 to 24 years","Females","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.7",""
"From 18 to 44 years","Total","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.2","e"
"From 18 to 44 years","Total","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.0",""
"From 18 to 44 years","Total","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 44 years","Total","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.6",""
"From 18 to 44 years","Total","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.6",""
"From 18 to 44 years","Total","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.4",""
"From 18 to 44 years","Total","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.0",""
"From 18 to 44 years","Total","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 18 to 44 years","Total","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.3",""
"From 18 to 44 years","Total","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.2",""
"From 18 to 44 years","Total","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.3",""
"From 18 to 44 years","Total","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.1",""
"From 18 to 44 years","Total","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.1",""
"From 18 to 44 years","Total","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.5",""
"From 18 to 44 years","Total","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 18 to 44 years","Total","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.5",""
"From 18 to 44 years","Total","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"From 18 to 44 years","Total","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.3",""
"From 18 to 44 years","Total","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.5",""
"From 18 to 44 years","Total","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.8",""
"From 18 to 44 years","Total","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.2",""
"From 18 to 44 years","Total","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.6",""
"From 18 to 44 years","Total","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3",""
"From 18 to 44 years","Total","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.0",""
"From 18 to 44 years","Total","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.9",""
"From 18 to 44 years","Total","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.0",""
"From 18 to 44 years","Total","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.0",""
"From 18 to 44 years","Total","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.0",""
"From 18 to 44 years","Total","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.2",""
"From 18 to 44 years","Total","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.0",""
"From 18 to 44 years","Males","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.7","e"
"From 18 to 44 years","Males","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.6",""
"From 18 to 44 years","Males","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.6",""
"From 18 to 44 years","Males","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.5",""
"From 18 to 44 years","Males","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.2",""
"From 18 to 44 years","Males","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.7",""
"From 18 to 44 years","Males","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.3",""
"From 18 to 44 years","Males","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.8",""
"From 18 to 44 years","Males","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.5",""
"From 18 to 44 years","Males","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.5",""
"From 18 to 44 years","Males","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.4",""
"From 18 to 44 years","Males","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.2",""
"From 18 to 44 years","Males","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 18 to 44 years","Males","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.8",""
"From 18 to 44 years","Males","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.6",""
"From 18 to 44 years","Males","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.7",""
"From 18 to 44 years","Males","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.4",""
"From 18 to 44 years","Males","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 18 to 44 years","Males","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.8",""
"From 18 to 44 years","Males","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.2",""
"From 18 to 44 years","Males","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.9",""
"From 18 to 44 years","Males","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.6",""
"From 18 to 44 years","Males","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.8",""
"From 18 to 44 years","Males","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 18 to 44 years","Males","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.2",""
"From 18 to 44 years","Males","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.0",""
"From 18 to 44 years","Males","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.2",""
"From 18 to 44 years","Males","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.6",""
"From 18 to 44 years","Males","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.0",""
"From 18 to 44 years","Males","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.9",""
"From 18 to 44 years","Females","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.7","e"
"From 18 to 44 years","Females","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.3",""
"From 18 to 44 years","Females","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 18 to 44 years","Females","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.8",""
"From 18 to 44 years","Females","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.0",""
"From 18 to 44 years","Females","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.0",""
"From 18 to 44 years","Females","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.7",""
"From 18 to 44 years","Females","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.6",""
"From 18 to 44 years","Females","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.2",""
"From 18 to 44 years","Females","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.9",""
"From 18 to 44 years","Females","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.2",""
"From 18 to 44 years","Females","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.9",""
"From 18 to 44 years","Females","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.8",""
"From 18 to 44 years","Females","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.1",""
"From 18 to 44 years","Females","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.9",""
"From 18 to 44 years","Females","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.3",""
"From 18 to 44 years","Females","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.8",""
"From 18 to 44 years","Females","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"From 18 to 44 years","Females","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3",""
"From 18 to 44 years","Females","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.3",""
"From 18 to 44 years","Females","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.4",""
"From 18 to 44 years","Females","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.6",""
"From 18 to 44 years","Females","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.9",""
"From 18 to 44 years","Females","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.3",""
"From 18 to 44 years","Females","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.7",""
"From 18 to 44 years","Females","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","10.9",""
"From 18 to 44 years","Females","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.6",""
"From 18 to 44 years","Females","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","11.4",""
"From 18 to 44 years","Females","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.5",""
"From 18 to 44 years","Females","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.1",""
"From 18 to 64 years","Total","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.0","e"
"From 18 to 64 years","Total","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"From 18 to 64 years","Total","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.6",""
"From 18 to 64 years","Total","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.6",""
"From 18 to 64 years","Total","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.2",""
"From 18 to 64 years","Total","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.6",""
"From 18 to 64 years","Total","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.7",""
"From 18 to 64 years","Total","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 18 to 64 years","Total","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.0",""
"From 18 to 64 years","Total","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.9",""
"From 18 to 64 years","Total","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.6",""
"From 18 to 64 years","Total","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.9",""
"From 18 to 64 years","Total","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.6",""
"From 18 to 64 years","Total","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.1",""
"From 18 to 64 years","Total","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 18 to 64 years","Total","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.9",""
"From 18 to 64 years","Total","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.2",""
"From 18 to 64 years","Total","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.8",""
"From 18 to 64 years","Total","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.7",""
"From 18 to 64 years","Total","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"From 18 to 64 years","Total","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.4",""
"From 18 to 64 years","Total","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 18 to 64 years","Total","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3",""
"From 18 to 64 years","Total","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.8",""
"From 18 to 64 years","Total","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.6",""
"From 18 to 64 years","Total","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","9.5",""
"From 18 to 64 years","Total","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.6",""
"From 18 to 64 years","Total","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.7",""
"From 18 to 64 years","Total","Norway","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.6",""
"From 18 to 64 years","Total","Turkey","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","6.5",""
"From 18 to 64 years","Males","European Union (current composition)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.3","e"
"From 18 to 64 years","Males","Bulgaria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.5",""
"From 18 to 64 years","Males","Czechia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.9",""
"From 18 to 64 years","Males","Denmark","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"From 18 to 64 years","Males","Germany (until 1990 former territory of the FRG)","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.8",""
"From 18 to 64 years","Males","Estonia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.1",""
"From 18 to 64 years","Males","Ireland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.8",""
"From 18 to 64 years","Males","Greece","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.7",""
"From 18 to 64 years","Males","Spain","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.4",""
"From 18 to 64 years","Males","France","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.4",""
"From 18 to 64 years","Males","Croatia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.9",""
"From 18 to 64 years","Males","Italy","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.5",""
"From 18 to 64 years","Males","Cyprus","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 18 to 64 years","Males","Latvia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.1",""
"From 18 to 64 years","Males","Lithuania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","1.9",""
"From 18 to 64 years","Males","Luxembourg","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.3",""
"From 18 to 64 years","Males","Hungary","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.2",""
"From 18 to 64 years","Males","Malta","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.0",""
"From 18 to 64 years","Males","Austria","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.9",""
"From 18 to 64 years","Males","Poland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","3.2",""
"From 18 to 64 years","Males","Portugal","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.2",""
"From 18 to 64 years","Males","Romania","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.4",""
"From 18 to 64 years","Males","Slovenia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","4.2",""
"From 18 to 64 years","Males","Slovakia","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","2.8",""
"From 18 to 64 years","Males","Finland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","5.7",""
"From 18 to 64 years","Males","Sweden","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.4",""
"From 18 to 64 years","Males","United Kingdom","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","8.1",""
"From 18 to 64 years","Males","Iceland","Depressive symptoms","2014","All ISCED 2011 levels ","Percentage","7.4",""
